ID_Entrega,ID_Proveedor,ID_Almacen,ID_Estado,Fecha_Envio,Fecha_Entrega,Tiempo_Entrega,Costo_Entrega,Entregado_Tiempo,Costo_Km,Direccion,Ciudad,Provincia,Pais,Km
80,1,1,1,2024-02-04,2024-03-06,744.0,4196.48,1,3.37,"Calle 84, N° 53",Ciudad B,X,Argentina,150
81,4,1,3,2024-02-25,2024-04-24,1416.0,2328.03,1,2.07,"Calle 41, N° 59",Ciudad A,Y,Argentina,300
82,2,1,3,2024-02-08,2024-03-17,912.0,369.45,1,1.6,"Calle 84, N° 53",Ciudad D,X,Argentina,200
83,5,2,1,2024-02-28,2024-03-19,480.0,1168.66,1,1.96,"Calle 49, N° 23",Ciudad C,X,Argentina,800
84,5,3,2,2024-02-19,2024-04-13,1296.0,1797.01,1,2.69,"Calle 57, N° 42",Ciudad C,Z,Argentina,500
85,5,3,1,2024-01-23,2024-01-24,24.0,976.02,1,3.74,"Calle 100, N° 93",Ciudad D,X,Argentina,200
86,4,3,2,2024-03-23,2024-04-08,384.0,1415.36,0,1.1,"Calle 88, N° 14",Ciudad D,Z,Argentina,800
87,5,3,2,2024-03-16,2024-04-22,888.0,3135.19,1,2.61,"Calle 60, N° 36",Ciudad B,Z,Argentina,150
88,4,1,1,2024-03-06,2024-03-17,264.0,2499.64,1,2.51,"Calle 88, N° 41",Ciudad B,Z,Argentina,200
89,1,2,3,2024-01-07,2024-01-26,456.0,2195.29,1,3.35,"Calle 25, N° 54",Ciudad B,X,Argentina,900
90,3,1,4,2024-02-07,2024-03-30,1248.0,234.69,0,2.37,"Calle 85, N° 80",Ciudad A,Y,Argentina,150
91,4,3,4,2024-03-26,2024-03-27,24.0,4192.07,0,3.28,"Calle 7, N° 1",Ciudad C,X,Argentina,800
92,2,2,2,2024-01-14,2024-01-27,312.0,659.59,1,1.81,"Calle 27, N° 79",Ciudad B,Z,Argentina,90
93,3,3,1,2024-01-28,2024-03-04,864.0,4999.46,1,4.74,"Calle 43, N° 73",Ciudad C,Z,Argentina,500
94,1,2,4,2024-02-24,2024-04-18,1296.0,500.3,1,4.99,"Calle 87, N° 12",Ciudad B,X,Argentina,90
95,2,3,4,2024-03-24,2024-05-14,1224.0,2104.74,1,4.57,"Calle 64, N° 81",Ciudad D,X,Argentina,900
96,4,1,2,2024-01-14,2024-02-03,480.0,2650.9,1,2.3,"Calle 90, N° 12",Ciudad D,Y,Argentina,350
97,4,2,2,2024-02-20,2024-02-28,192.0,1468.59,1,2.1,"Calle 18, N° 2",Ciudad B,Y,Argentina,300
98,4,2,4,2024-02-08,2024-03-21,1008.0,3219.36,0,4.2,"Calle 79, N° 38",Ciudad C,Z,Argentina,600
99,3,2,3,2024-02-03,2024-02-21,432.0,4146.16,1,1.66,"Calle 5, N° 35",Ciudad C,Y,Argentina,150
100,4,1,3,2024-01-04,2024-01-19,360.0,346.95,1,1.23,"Calle 91, N° 24",Ciudad B,X,Argentina,500
101,2,1,3,2024-03-05,2024-04-28,1296.0,4073.51,0,2.53,"Calle 36, N° 92",Ciudad A,Y,Argentina,150
102,4,3,4,2024-01-26,2024-03-19,1272.0,1025.36,1,3.06,"Calle 1, N° 57",Ciudad C,Y,Argentina,900
103,1,1,2,2024-03-03,2024-04-18,1104.0,2877.38,1,2.84,"Calle 59, N° 85",Ciudad B,Z,Argentina,350
104,5,3,2,2024-01-26,2024-01-29,72.0,2483.59,1,1.81,"Calle 92, N° 36",Ciudad A,X,Argentina,150
105,4,1,1,2024-02-19,2024-04-12,1272.0,4221.12,0,3.74,"Calle 3, N° 61",Ciudad A,Z,Argentina,500
106,3,1,2,2024-01-24,2024-02-01,192.0,4878.56,1,2.39,"Calle 45, N° 54",Ciudad A,Z,Argentina,350
107,4,1,1,2024-01-18,2024-02-23,864.0,4357.63,0,4.07,"Calle 99, N° 1",Ciudad A,Z,Argentina,90
108,1,2,2,2024-01-12,2024-02-19,912.0,4198.42,1,3.74,"Calle 53, N° 17",Ciudad C,X,Argentina,350
109,3,3,4,2024-01-18,2024-02-28,984.0,1156.46,0,3.61,"Calle 45, N° 7",Ciudad D,Y,Argentina,90
110,1,2,3,2024-03-24,2024-04-08,360.0,2234.07,1,1.16,"Calle 66, N° 5",Ciudad C,Y,Argentina,900
111,5,2,3,2024-01-08,2024-01-11,72.0,4720.47,1,4.82,"Calle 2, N° 27",Ciudad D,Z,Argentina,200
112,2,3,4,2024-03-28,2024-04-16,456.0,3592.14,0,2.32,"Calle 76, N° 99",Ciudad B,Z,Argentina,800
113,4,3,1,2024-02-15,2024-04-11,1344.0,714.69,0,2.78,"Calle 53, N° 74",Ciudad C,X,Argentina,200
114,1,3,2,2024-01-02,2024-01-07,120.0,4148.16,1,3.51,"Calle 33, N° 44",Ciudad B,Z,Argentina,150
115,5,3,4,2024-03-22,2024-04-06,360.0,3362.16,0,2.96,"Calle 81, N° 53",Ciudad B,X,Argentina,200
116,3,1,3,2024-03-27,2024-04-08,288.0,4213.6,1,1.47,"Calle 87, N° 49",Ciudad C,Z,Argentina,800
117,2,1,1,2024-03-12,2024-03-22,240.0,812.55,1,2.19,"Calle 39, N° 92",Ciudad A,X,Argentina,700
118,4,3,2,2024-03-12,2024-04-05,576.0,2252.42,1,3.88,"Calle 88, N° 27",Ciudad A,Z,Argentina,150
119,1,2,2,2024-03-25,2024-03-26,24.0,3007.28,1,4.27,"Calle 65, N° 60",Ciudad A,X,Argentina,200
120,4,2,2,2024-03-26,2024-05-01,864.0,4008.46,1,1.0,"Calle 21, N° 36",Ciudad D,X,Argentina,600
121,2,3,1,2024-03-18,2024-04-16,696.0,3168.58,1,1.89,"Calle 8, N° 18",Ciudad D,X,Argentina,800
122,4,2,4,2024-02-26,2024-03-27,720.0,3077.95,0,2.92,"Calle 65, N° 35",Ciudad D,Y,Argentina,700
123,2,3,1,2024-01-23,2024-02-06,336.0,3117.75,1,1.54,"Calle 41, N° 34",Ciudad C,X,Argentina,900
124,2,1,4,2024-01-17,2024-02-28,1008.0,306.5,1,4.73,"Calle 76, N° 47",Ciudad C,Y,Argentina,500
125,5,3,2,2024-03-02,2024-03-10,192.0,2398.52,1,1.21,"Calle 72, N° 40",Ciudad D,Z,Argentina,300
126,1,1,1,2024-02-14,2024-03-05,480.0,3146.7,1,4.84,"Calle 72, N° 32",Ciudad B,X,Argentina,500
127,3,2,3,2024-03-26,2024-05-16,1224.0,1705.26,1,3.93,"Calle 48, N° 22",Ciudad A,Y,Argentina,700
128,4,1,2,2024-02-19,2024-03-03,312.0,2170.05,1,3.96,"Calle 23, N° 42",Ciudad A,Y,Argentina,500
129,2,1,1,2024-01-23,2024-03-08,1080.0,4432.41,1,2.16,"Calle 65, N° 6",Ciudad A,Z,Argentina,800
130,1,3,2,2024-01-13,2024-03-06,1272.0,278.56,1,1.24,"Calle 25, N° 56",Ciudad A,Z,Argentina,500
131,3,2,3,2024-01-06,2024-02-09,816.0,2902.6,0,2.08,"Calle 14, N° 69",Ciudad B,X,Argentina,90
132,5,2,4,2024-01-19,2024-01-23,96.0,3323.47,1,3.15,"Calle 75, N° 13",Ciudad D,X,Argentina,300
133,3,1,4,2024-01-20,2024-03-17,1368.0,4840.04,1,2.25,"Calle 32, N° 35",Ciudad B,X,Argentina,300
134,3,1,4,2024-01-27,2024-03-06,936.0,2413.02,1,3.16,"Calle 60, N° 31",Ciudad B,Z,Argentina,200
135,4,2,1,2024-03-11,2024-03-25,336.0,2864.28,1,2.07,"Calle 66, N° 70",Ciudad D,X,Argentina,600
136,5,2,2,2024-03-23,2024-03-30,168.0,4608.03,0,1.33,"Calle 41, N° 79",Ciudad D,X,Argentina,700
137,5,3,2,2024-03-24,2024-04-27,816.0,1432.52,1,2.38,"Calle 16, N° 72",Ciudad D,Z,Argentina,900
138,3,1,4,2024-02-10,2024-03-12,744.0,504.55,0,3.45,"Calle 98, N° 23",Ciudad D,Y,Argentina,200
139,2,3,3,2024-03-07,2024-03-27,480.0,1192.75,1,1.91,"Calle 10, N° 67",Ciudad B,X,Argentina,200
140,3,3,3,2024-01-03,2024-02-22,1200.0,3320.56,1,4.28,"Calle 58, N° 28",Ciudad D,X,Argentina,600
141,1,2,2,2024-03-22,2024-04-12,504.0,2416.46,1,2.04,"Calle 79, N° 33",Ciudad D,Z,Argentina,700
142,5,1,4,2024-02-22,2024-03-29,864.0,1019.0,1,3.6,"Calle 76, N° 48",Ciudad D,Y,Argentina,90
143,3,2,1,2024-03-13,2024-04-03,504.0,2539.21,1,2.9,"Calle 45, N° 18",Ciudad C,Z,Argentina,800
144,4,3,4,2024-02-18,2024-02-28,240.0,4814.33,1,4.23,"Calle 29, N° 66",Ciudad D,Y,Argentina,200
145,2,3,1,2024-01-03,2024-01-06,72.0,4860.96,1,2.11,"Calle 14, N° 95",Ciudad D,Y,Argentina,700
146,4,3,4,2024-02-20,2024-03-13,528.0,2198.65,1,2.5,"Calle 78, N° 74",Ciudad B,Z,Argentina,500
147,3,1,2,2024-01-27,2024-03-17,1200.0,511.15,1,3.17,"Calle 90, N° 74",Ciudad B,Y,Argentina,300
148,5,1,1,2024-01-20,2024-01-28,192.0,1278.73,1,2.16,"Calle 18, N° 56",Ciudad D,X,Argentina,350
149,5,2,1,2024-03-15,2024-05-09,1320.0,4640.57,1,2.27,"Calle 6, N° 16",Ciudad A,Z,Argentina,900
150,2,3,3,2024-01-25,2024-02-16,528.0,3708.56,1,4.98,"Calle 89, N° 49",Ciudad C,Y,Argentina,150
151,5,2,2,2024-02-18,2024-02-19,24.0,2613.3,1,2.12,"Calle 88, N° 98",Ciudad D,Z,Argentina,200
152,1,2,3,2024-01-17,2024-02-13,648.0,2328.68,0,1.83,"Calle 96, N° 91",Ciudad D,Y,Argentina,90
153,2,2,1,2024-02-28,2024-04-03,840.0,200.34,1,3.59,"Calle 56, N° 61",Ciudad B,Z,Argentina,600
154,3,3,2,2024-03-23,2024-03-26,72.0,1119.4,1,3.99,"Calle 14, N° 76",Ciudad B,X,Argentina,300
155,5,1,2,2024-03-26,2024-04-20,600.0,4965.31,1,1.81,"Calle 19, N° 94",Ciudad D,X,Argentina,200
156,4,1,1,2024-02-02,2024-03-23,1200.0,1734.04,0,1.84,"Calle 25, N° 30",Ciudad A,Z,Argentina,500
157,3,1,1,2024-02-18,2024-02-27,216.0,4333.76,1,4.96,"Calle 89, N° 66",Ciudad B,Y,Argentina,500
158,4,2,2,2024-01-17,2024-02-01,360.0,3018.34,1,1.61,"Calle 4, N° 77",Ciudad D,Y,Argentina,700
159,5,1,2,2024-02-12,2024-03-15,768.0,2524.71,1,4.69,"Calle 74, N° 60",Ciudad D,Y,Argentina,150
160,3,1,3,2024-01-18,2024-02-25,912.0,2193.99,1,3.41,"Calle 70, N° 41",Ciudad B,X,Argentina,90
161,1,1,1,2024-02-13,2024-04-01,1152.0,3001.04,0,1.72,"Calle 52, N° 72",Ciudad C,Z,Argentina,150
162,1,3,2,2024-01-06,2024-02-15,960.0,3293.57,1,2.72,"Calle 99, N° 25",Ciudad A,Y,Argentina,350
163,3,2,1,2024-03-09,2024-03-24,360.0,1456.67,1,2.88,"Calle 40, N° 66",Ciudad A,Y,Argentina,200
164,2,3,3,2024-03-15,2024-03-16,24.0,590.16,1,3.98,"Calle 58, N° 89",Ciudad C,X,Argentina,300
165,2,1,4,2024-03-02,2024-04-22,1224.0,1379.41,1,3.1,"Calle 32, N° 46",Ciudad C,Y,Argentina,700
166,4,3,3,2024-03-25,2024-05-12,1152.0,2938.64,1,2.31,"Calle 38, N° 53",Ciudad D,Y,Argentina,200
167,1,2,2,2024-01-12,2024-01-16,96.0,2518.27,1,3.87,"Calle 28, N° 31",Ciudad A,Z,Argentina,300
168,4,1,1,2024-02-18,2024-03-14,600.0,709.68,1,4.35,"Calle 69, N° 35",Ciudad D,Y,Argentina,150
169,1,1,4,2024-03-12,2024-04-13,768.0,3567.64,1,4.56,"Calle 40, N° 16",Ciudad D,Y,Argentina,700
170,4,3,2,2024-01-15,2024-02-17,792.0,3743.78,1,1.91,"Calle 100, N° 41",Ciudad C,X,Argentina,800
171,5,1,4,2024-01-21,2024-02-28,912.0,3411.94,1,3.58,"Calle 50, N° 44",Ciudad C,X,Argentina,900
172,1,3,1,2024-01-28,2024-02-01,96.0,163.22,1,2.16,"Calle 33, N° 59",Ciudad A,Z,Argentina,600
173,5,3,1,2024-02-04,2024-02-05,24.0,3606.02,1,3.16,"Calle 2, N° 10",Ciudad A,X,Argentina,700
174,4,2,4,2024-02-04,2024-02-21,408.0,3262.37,1,1.95,"Calle 73, N° 52",Ciudad B,Y,Argentina,150
175,1,2,3,2024-03-09,2024-03-26,408.0,4886.24,1,3.33,"Calle 62, N° 90",Ciudad B,Z,Argentina,600
176,4,2,1,2024-03-08,2024-04-04,648.0,1936.53,1,2.91,"Calle 16, N° 59",Ciudad D,Z,Argentina,800
177,1,1,3,2024-01-24,2024-02-03,240.0,2382.61,0,4.28,"Calle 4, N° 45",Ciudad C,Z,Argentina,90
178,2,1,4,2024-02-13,2024-02-28,360.0,3411.01,1,3.09,"Calle 15, N° 51",Ciudad A,Y,Argentina,90
179,3,3,3,2024-03-21,2024-03-28,168.0,1120.18,0,3.87,"Calle 55, N° 4",Ciudad C,Z,Argentina,150
180,3,3,4,2024-01-11,2024-02-28,1152.0,2073.39,1,1.64,"Calle 78, N° 46",Ciudad A,Z,Argentina,700
181,2,2,4,2024-02-14,2024-04-04,1200.0,3541.48,1,1.57,"Calle 53, N° 86",Ciudad B,Z,Argentina,800
182,2,3,1,2024-03-10,2024-03-15,120.0,3989.59,1,4.69,"Calle 16, N° 45",Ciudad B,Y,Argentina,500
183,3,1,4,2024-01-22,2024-02-10,456.0,2287.46,1,3.39,"Calle 26, N° 15",Ciudad D,Y,Argentina,150
184,1,3,2,2024-02-13,2024-03-05,504.0,2417.88,1,2.47,"Calle 41, N° 78",Ciudad B,X,Argentina,900
185,4,2,3,2024-02-26,2024-04-15,1176.0,1051.78,1,1.61,"Calle 97, N° 31",Ciudad A,X,Argentina,90
186,2,1,2,2024-03-10,2024-04-25,1104.0,2273.65,1,4.46,"Calle 3, N° 63",Ciudad D,Z,Argentina,900
187,3,3,1,2024-01-17,2024-02-01,360.0,1053.13,0,2.22,"Calle 87, N° 46",Ciudad A,Y,Argentina,150
188,5,3,1,2024-03-27,2024-05-04,912.0,2020.62,1,3.72,"Calle 70, N° 57",Ciudad A,Y,Argentina,350
189,1,1,4,2024-02-25,2024-03-10,336.0,627.82,1,1.71,"Calle 39, N° 83",Ciudad D,Y,Argentina,150
190,2,1,4,2024-03-15,2024-04-29,1080.0,941.36,1,1.76,"Calle 47, N° 25",Ciudad B,Y,Argentina,500
191,4,3,2,2024-01-15,2024-01-20,120.0,320.24,1,3.97,"Calle 31, N° 79",Ciudad B,Z,Argentina,350
192,2,2,1,2024-03-25,2024-03-28,72.0,2747.75,1,2.82,"Calle 63, N° 3",Ciudad D,X,Argentina,200
193,5,1,3,2024-02-24,2024-04-07,1032.0,368.17,1,3.9,"Calle 81, N° 85",Ciudad C,Z,Argentina,200
194,4,2,1,2024-01-28,2024-03-06,912.0,3253.52,0,1.5,"Calle 65, N° 82",Ciudad D,Y,Argentina,150
195,4,2,1,2024-01-21,2024-02-05,360.0,1118.99,1,1.35,"Calle 100, N° 78",Ciudad A,X,Argentina,90
196,2,2,4,2024-01-22,2024-02-10,456.0,3892.04,1,2.63,"Calle 55, N° 55",Ciudad D,X,Argentina,500
197,3,2,4,2024-03-26,2024-03-31,120.0,1075.54,1,1.5,"Calle 19, N° 23",Ciudad D,Y,Argentina,200
198,1,3,1,2024-02-28,2024-03-17,432.0,4749.26,1,1.73,"Calle 78, N° 34",Ciudad A,X,Argentina,90
199,3,2,3,2024-01-22,2024-03-07,1080.0,1456.12,1,2.72,"Calle 37, N° 84",Ciudad A,Z,Argentina,90
200,4,3,3,2024-01-08,2024-02-22,1080.0,711.14,0,3.47,"Calle 32, N° 7",Ciudad D,X,Argentina,900
201,4,3,3,2024-01-07,2024-03-04,1368.0,4931.91,1,1.39,"Calle 69, N° 4",Ciudad D,Z,Argentina,500
202,4,3,1,2024-03-12,2024-04-29,1152.0,4246.78,1,1.89,"Calle 92, N° 99",Ciudad B,Y,Argentina,350
203,5,3,2,2024-01-25,2024-02-14,480.0,1787.09,1,1.62,"Calle 38, N° 5",Ciudad D,Z,Argentina,500
204,3,1,4,2024-02-11,2024-02-12,24.0,3776.67,0,1.94,"Calle 2, N° 10",Ciudad A,Z,Argentina,500
205,1,3,2,2024-02-05,2024-02-12,168.0,3603.81,0,2.67,"Calle 23, N° 100",Ciudad D,X,Argentina,200
206,4,3,2,2024-03-07,2024-04-23,1128.0,2679.2,1,1.48,"Calle 83, N° 50",Ciudad A,Z,Argentina,300
207,3,3,2,2024-01-03,2024-02-07,840.0,2473.11,1,3.19,"Calle 77, N° 20",Ciudad A,Z,Argentina,300
208,4,3,2,2024-02-06,2024-02-21,360.0,4357.8,1,4.51,"Calle 63, N° 66",Ciudad A,Z,Argentina,350
209,3,3,1,2024-03-14,2024-05-09,1344.0,3006.14,1,4.92,"Calle 35, N° 29",Ciudad B,X,Argentina,90
